task_id,status,execution_source,reward,db_reward,nl_assertion_reward,action_passed,action_total,read_passed,read_total,write_passed,write_total,generic_passed,generic_total,simulation_duration_seconds,wall_clock_seconds,termination_reason,agent_cost_usd,user_cost_usd,judge_cost_usd,total_model_cost_usd,judge_call_count,judge_prompt_tokens,judge_completion_tokens,error_type,error_message
16,COMPLETED,REUSED_EXISTING_RESULT,1.0,1.0,1.0,8,9,5,5,3,3,0,1,24.254778699978488,,user_stop,0.0013956544000000002,0.0002454536,0.00071722,0.0023583280000000002,1,4961,81,,
59,COMPLETED,EXECUTED_NOW,0.0,0.0,0.0,3,5,3,3,0,2,0,0,18.26862859999528,20.517,user_stop,0.0007565208000000001,0.00029959439999999995,0.00042630000000000006,0.0014824152,1,2655,195,,
76,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,2,2,0,0,2,2,0,0,22.091371699993033,24.067,user_stop,0.0014975184000000001,0.0003413536,0.0009158800000000001,0.002754752,1,6234,154,,
98,COMPLETED,EXECUTED_NOW,0.0,0.0,1.0,1,3,0,0,1,3,0,0,36.76352829998359,37.097,user_stop,0.0025287304,0.0004415768000000001,0,0.0029703072000000002,0,0,0,,
1,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,5,5,4,4,1,1,0,0,25.507313200010685,25.856,user_stop,0.0011891768000000002,0.0003398248,0,0.0015290016,0,0,0,,
29,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,6,6,4,4,2,2,0,0,30.186421699996572,31.942,user_stop,0.0018420920000000003,0.00038906,0.00105658,0.0032877320000000002,1,7307,120,,
52,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,5,5,4,4,1,1,0,0,26.971190699987346,27.307,user_stop,0.0013328616,0.0003477712,0,0.0016806328,0,0,0,,
95,COMPLETED,EXECUTED_NOW,0.0,0.0,0.0,0,2,0,0,0,2,0,0,24.75409450000734,27.792,user_stop,0.001289848,0.0003248504,0.00079436,0.0024090583999999996,1,5058,308,,
107,COMPLETED,EXECUTED_NOW,0.0,0.0,1.0,1,2,0,0,1,2,0,0,24.79900389999966,26.886,user_stop,0.0015238104000000001,0.0002737336,0.0009010400000000001,0.0026985840000000004,1,6230,103,,
21,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,11,12,10,10,1,1,0,1,28.027180400007637,29.348,user_stop,0.0016510928000000001,0.0002873472,0.00080696,0.0027454000000000003,1,5628,68,,
37,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,4,4,3,3,1,1,0,0,28.201693700015312,30.07,user_stop,0.0016290232,0.0003283,0.0009318400000000001,0.0028891632,1,6370,143,,
43,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,5,5,4,4,1,1,0,0,22.69368160000886,25.146,user_stop,0.000772436,0.00032712400000000003,0.00046074,0.0015603000000000001,1,2867,212,,
72,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,2,2,0,0,2,2,0,0,33.88151090001338,34.207,user_stop,0.0017520720000000001,0.0004721920000000001,0,0.002224264,0,0,0,,
109,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,3,3,0,0,3,3,0,0,29.527700700011337,31.836,user_stop,0.0014480032,0.00042767200000000003,0.0007539,0.0026295752,1,4991,197,,
24,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,0,0,0,0,0,0,0,0,15.387458899989724,17.751,user_stop,0.0008157240000000001,0.000143976,0.0005419400000000001,0.0015016400000000003,1,3559,156,,
50,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,1,1,0,0,0,0,1,1,13.872775900003035,14.221,user_stop,0.000468076,0.000121436,0,0.0005895119999999999,0,0,0,,
19,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,7,7,6,6,1,1,0,0,25.651851599977817,28.331,user_stop,0.0014422632000000001,0.00029575280000000004,0.00088228,0.0026202960000000003,1,5980,161,,
28,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,10,11,7,7,3,3,0,1,25.344910300016636,27.004,user_stop,0.0014661864000000003,0.00027627040000000004,0.0007299600000000001,0.0024724168000000006,1,5072,71,,
46,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,4,7,2,4,1,1,1,2,27.989354000019375,29.84,user_stop,0.0012500936,0.0003273816,0.0005611200000000001,0.0021385952,1,3732,138,,
89,COMPLETED,EXECUTED_NOW,1.0,1.0,1.0,1,1,0,0,1,1,0,0,22.063004399999045,24.551,user_stop,0.001159088,0.0003011288,0.00070854,0.0021687568,1,4597,232,,
