task_id,label,reviewer_id,reviewed_at,rationale,evidence_files
1,,,,,"[""evidence/task_1/returned_results.json"", ""evidence/task_1/summary.json"", ""evidence/policy.md""]"
16,,,,,"[""evidence/task_16/returned_results.json"", ""evidence/task_16/summary.json"", ""evidence/policy.md""]"
19,,,,,"[""evidence/task_19/returned_results.json"", ""evidence/task_19/summary.json"", ""evidence/policy.md""]"
21,,,,,"[""evidence/task_21/returned_results.json"", ""evidence/task_21/summary.json"", ""evidence/policy.md""]"
24,,,,,"[""evidence/task_24/returned_results.json"", ""evidence/task_24/summary.json"", ""evidence/policy.md""]"
28,,,,,"[""evidence/task_28/returned_results.json"", ""evidence/task_28/summary.json"", ""evidence/policy.md""]"
29,,,,,"[""evidence/task_29/returned_results.json"", ""evidence/task_29/summary.json"", ""evidence/policy.md""]"
37,,,,,"[""evidence/task_37/returned_results.json"", ""evidence/task_37/summary.json"", ""evidence/policy.md""]"
43,,,,,"[""evidence/task_43/returned_results.json"", ""evidence/task_43/summary.json"", ""evidence/policy.md""]"
46,,,,,"[""evidence/task_46/returned_results.json"", ""evidence/task_46/summary.json"", ""evidence/policy.md""]"
50,,,,,"[""evidence/task_50/returned_results.json"", ""evidence/task_50/summary.json"", ""evidence/policy.md""]"
52,,,,,"[""evidence/task_52/returned_results.json"", ""evidence/task_52/summary.json"", ""evidence/policy.md""]"
59,,,,,"[""evidence/task_59/returned_results.json"", ""evidence/task_59/summary.json"", ""evidence/policy.md""]"
72,,,,,"[""evidence/task_72/returned_results.json"", ""evidence/task_72/summary.json"", ""evidence/policy.md""]"
76,,,,,"[""evidence/task_76/returned_results.json"", ""evidence/task_76/summary.json"", ""evidence/policy.md""]"
89,,,,,"[""evidence/task_89/returned_results.json"", ""evidence/task_89/summary.json"", ""evidence/policy.md""]"
95,,,,,"[""evidence/task_95/returned_results.json"", ""evidence/task_95/summary.json"", ""evidence/policy.md""]"
98,,,,,"[""evidence/task_98/returned_results.json"", ""evidence/task_98/summary.json"", ""evidence/policy.md""]"
107,,,,,"[""evidence/task_107/returned_results.json"", ""evidence/task_107/summary.json"", ""evidence/policy.md""]"
109,,,,,"[""evidence/task_109/returned_results.json"", ""evidence/task_109/summary.json"", ""evidence/policy.md""]"
